overlay_gross_pct_of_cluster_mv,overlay_gross_dollars,annual_harvested_loss_yield_of_gross,annual_cost_pct_of_gross,illustrative_harvested_loss,tax_value_at_23_8pct_if_losses_used,estimated_annual_overlay_cost,illustrative_net_tax_value_before_alpha,breakeven_harvest_yield_at_23_8pct_tax_rate
0.25,2026365.5175,0.03,0.0075,60790.965525,14468.24979495,15197.74138125,-729.4915863000006,0.031512605042016806
0.25,2026365.5175,0.03,0.015,60790.965525,14468.24979495,30395.4827625,-15927.23296755,0.06302521008403361
0.25,2026365.5175,0.03,0.03,60790.965525,14468.24979495,60790.965525,-46322.71573005,0.12605042016806722
0.25,2026365.5175,0.05,0.0075,101318.275875,24113.74965825,15197.74138125,8916.008276999999,0.031512605042016806
0.25,2026365.5175,0.05,0.015,101318.275875,24113.74965825,30395.4827625,-6281.733104250001,0.06302521008403361
0.25,2026365.5175,0.05,0.03,101318.275875,24113.74965825,60790.965525,-36677.215866750004,0.12605042016806722
0.25,2026365.5175,0.08,0.0075,162109.2414,38581.9994532,15197.74138125,23384.258071949997,0.031512605042016806
0.25,2026365.5175,0.08,0.015,162109.2414,38581.9994532,30395.4827625,8186.516690699998,0.06302521008403361
0.25,2026365.5175,0.08,0.03,162109.2414,38581.9994532,60790.965525,-22208.9660718,0.12605042016806722
0.25,2026365.5175,0.1,0.0075,202636.55175,48227.4993165,15197.74138125,33029.757935249996,0.031512605042016806
0.25,2026365.5175,0.1,0.015,202636.55175,48227.4993165,30395.4827625,17832.016553999998,0.06302521008403361
0.25,2026365.5175,0.1,0.03,202636.55175,48227.4993165,60790.965525,-12563.466208500002,0.12605042016806722
0.25,2026365.5175,0.15,0.0075,303954.827625,72341.24897475,15197.74138125,57143.50759349999,0.031512605042016806
0.25,2026365.5175,0.15,0.015,303954.827625,72341.24897475,30395.4827625,41945.76621224999,0.06302521008403361
0.25,2026365.5175,0.15,0.03,303954.827625,72341.24897475,60790.965525,11550.283449749993,0.12605042016806722
0.5,4052731.035,0.03,0.0075,121581.93105,28936.4995899,30395.4827625,-1458.9831726000011,0.031512605042016806
0.5,4052731.035,0.03,0.015,121581.93105,28936.4995899,60790.965525,-31854.4659351,0.06302521008403361
0.5,4052731.035,0.03,0.03,121581.93105,28936.4995899,121581.93105,-92645.4314601,0.12605042016806722
0.5,4052731.035,0.05,0.0075,202636.55175,48227.4993165,30395.4827625,17832.016553999998,0.031512605042016806
0.5,4052731.035,0.05,0.015,202636.55175,48227.4993165,60790.965525,-12563.466208500002,0.06302521008403361
0.5,4052731.035,0.05,0.03,202636.55175,48227.4993165,121581.93105,-73354.43173350001,0.12605042016806722
0.5,4052731.035,0.08,0.0075,324218.4828,77163.9989064,30395.4827625,46768.51614389999,0.031512605042016806
0.5,4052731.035,0.08,0.015,324218.4828,77163.9989064,60790.965525,16373.033381399997,0.06302521008403361
0.5,4052731.035,0.08,0.03,324218.4828,77163.9989064,121581.93105,-44417.9321436,0.12605042016806722
0.5,4052731.035,0.1,0.0075,405273.1035,96454.998633,30395.4827625,66059.51587049999,0.031512605042016806
0.5,4052731.035,0.1,0.015,405273.1035,96454.998633,60790.965525,35664.033107999996,0.06302521008403361
0.5,4052731.035,0.1,0.03,405273.1035,96454.998633,121581.93105,-25126.932417000004,0.12605042016806722
0.5,4052731.035,0.15,0.0075,607909.65525,144682.4979495,30395.4827625,114287.01518699998,0.031512605042016806
0.5,4052731.035,0.15,0.015,607909.65525,144682.4979495,60790.965525,83891.53242449998,0.06302521008403361
0.5,4052731.035,0.15,0.03,607909.65525,144682.4979495,121581.93105,23100.566899499987,0.12605042016806722
0.75,6079096.5525,0.03,0.0075,182372.896575,43404.749384849994,45593.22414375,-2188.4747589000035,0.031512605042016806
0.75,6079096.5525,0.03,0.015,182372.896575,43404.749384849994,91186.4482875,-47781.69890265,0.06302521008403361
0.75,6079096.5525,0.03,0.03,182372.896575,43404.749384849994,182372.896575,-138968.14719015,0.12605042016806722
0.75,6079096.5525,0.05,0.0075,303954.82762500003,72341.24897475001,45593.22414375,26748.02483100001,0.031512605042016806
0.75,6079096.5525,0.05,0.015,303954.82762500003,72341.24897475001,91186.4482875,-18845.199312749988,0.06302521008403361
0.75,6079096.5525,0.05,0.03,303954.82762500003,72341.24897475001,182372.896575,-110031.64760024998,0.12605042016806722
0.75,6079096.5525,0.08,0.0075,486327.72420000006,115745.99835960001,45593.22414375,70152.77421585002,0.031512605042016806
0.75,6079096.5525,0.08,0.015,486327.72420000006,115745.99835960001,91186.4482875,24559.550072100013,0.06302521008403361
0.75,6079096.5525,0.08,0.03,486327.72420000006,115745.99835960001,182372.896575,-66626.89821539998,0.12605042016806722
0.75,6079096.5525,0.1,0.0075,607909.6552500001,144682.49794950002,45593.22414375,99089.27380575001,0.031512605042016806
0.75,6079096.5525,0.1,0.015,607909.6552500001,144682.49794950002,91186.4482875,53496.04966200002,0.06302521008403361
0.75,6079096.5525,0.1,0.03,607909.6552500001,144682.49794950002,182372.896575,-37690.398625499976,0.12605042016806722
0.75,6079096.5525,0.15,0.0075,911864.482875,217023.74692424998,45593.22414375,171430.52278049997,0.031512605042016806
0.75,6079096.5525,0.15,0.015,911864.482875,217023.74692424998,91186.4482875,125837.29863674998,0.06302521008403361
0.75,6079096.5525,0.15,0.03,911864.482875,217023.74692424998,182372.896575,34650.85034924999,0.12605042016806722
1.0,8105462.07,0.03,0.0075,243163.8621,57872.9991798,60790.965525,-2917.9663452000023,0.031512605042016806
1.0,8105462.07,0.03,0.015,243163.8621,57872.9991798,121581.93105,-63708.9318702,0.06302521008403361
1.0,8105462.07,0.03,0.03,243163.8621,57872.9991798,243163.8621,-185290.8629202,0.12605042016806722
1.0,8105462.07,0.05,0.0075,405273.1035,96454.998633,60790.965525,35664.033107999996,0.031512605042016806
1.0,8105462.07,0.05,0.015,405273.1035,96454.998633,121581.93105,-25126.932417000004,0.06302521008403361
1.0,8105462.07,0.05,0.03,405273.1035,96454.998633,243163.8621,-146708.86346700002,0.12605042016806722
1.0,8105462.07,0.08,0.0075,648436.9656,154327.9978128,60790.965525,93537.03228779999,0.031512605042016806
1.0,8105462.07,0.08,0.015,648436.9656,154327.9978128,121581.93105,32746.066762799994,0.06302521008403361
1.0,8105462.07,0.08,0.03,648436.9656,154327.9978128,243163.8621,-88835.8642872,0.12605042016806722
1.0,8105462.07,0.1,0.0075,810546.207,192909.997266,60790.965525,132119.03174099998,0.031512605042016806
1.0,8105462.07,0.1,0.015,810546.207,192909.997266,121581.93105,71328.06621599999,0.06302521008403361
