symbol,source_lot_rows,normalized_lot_rows,source_total_rows,reconciliation_status,normalized_vs_schwab_total_market_value_diff,normalized_vs_schwab_total_cost_basis_diff,normalized_vs_schwab_total_gain_loss_dollars_diff
AVAV,1,1,1,PASS,0.0,0.0,0.0
BOXX,2,2,1,PASS,7.275957614183426e-12,0.0,0.0
CTA,17,17,1,PASS,0.0100000000002182,0.0,0.0099999999997635
HARD,1,1,1,PASS,0.0,0.0,0.0
IAU,2,2,1,PASS,0.0,0.0,0.0
IBIT,3,3,1,PASS,0.0,0.0,0.0
INTC,3,3,1,PASS,-1.4551915228366852e-11,3.637978807091713e-12,0.0
MU,1,1,1,PASS,0.0,0.0,0.0
NTSX,1,1,1,PASS,0.0,0.0,0.0
QMCO,1,1,1,PASS,0.0,,
RINF,7,7,1,PASS,0.0100000000002182,0.0,0.009999999999998
RXL,4,4,1,PASS,0.0,0.0,0.0
SMCI,1,1,1,PASS,0.0,0.0,0.0
SNDK,19,19,1,PASS,-0.0099999997764825,0.0,-0.0099999997764825
STIP,14,14,1,PASS,-0.0200000000004365,0.0,-0.0200000000000102
STX,1,1,1,PASS,0.0,,
SWVXX,32,32,1,PASS,0.0,0.0,
TBIL,4,4,1,PASS,1.4551915228366852e-11,0.0,1.4210854715202004e-14
UGL,4,4,1,PASS,0.0,0.0,0.0
VPU,1,1,1,PASS,0.0,0.0,0.0
WDC,15,15,1,PASS,0.0,0.0,0.0
XBIL,7,7,1,PASS,0.0,0.0,0.0
