tax_rate_scenario,federal_ltcg_rate,niit_rate,state_rate,combined_tax_rate,sale_method,sale_pct,lots_touched,sale_value,basis_sold,realized_gain,effective_gain_pct_of_sale,realized_gain_pct_of_full_embedded_gain,estimated_tax,after_tax_sale_proceeds,harvested_losses_needed_to_fully_offset_gain,gross_overlay_needed_at_10pct_loss_yield,gross_overlay_needed_at_10pct_loss_yield_pct_of_concentrated_mv
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.05,40,405273.1035,5913.262000000001,399359.84150000004,0.9854091921005066,0.05000000000000001,79871.96830000001,325401.1352,399359.84150000004,3993598.415,0.4927045960502533
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.05,40,405273.1035,5913.262000000001,399359.84150000004,0.9854091921005066,0.05000000000000001,95047.642277,310225.461223,399359.84150000004,3993598.415,0.4927045960502533
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.05,40,405273.1035,5913.262000000001,399359.84150000004,0.9854091921005066,0.05000000000000001,132188.10753650003,273084.9959635,399359.84150000004,3993598.415,0.4927045960502533
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.05,40,405273.1035,5913.262000000001,399359.84150000004,0.9854091921005066,0.05000000000000001,148162.5011965,257110.60230350003,399359.84150000004,3993598.415,0.4927045960502533
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.1,40,810546.207,11826.524000000001,798719.6830000001,0.9854091921005066,0.10000000000000002,159743.93660000002,650802.2704,798719.6830000001,7987196.83,0.9854091921005066
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.1,40,810546.207,11826.524000000001,798719.6830000001,0.9854091921005066,0.10000000000000002,190095.284554,620450.922446,798719.6830000001,7987196.83,0.9854091921005066
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.1,40,810546.207,11826.524000000001,798719.6830000001,0.9854091921005066,0.10000000000000002,264376.21507300006,546169.991927,798719.6830000001,7987196.83,0.9854091921005066
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.1,40,810546.207,11826.524000000001,798719.6830000001,0.9854091921005066,0.10000000000000002,296325.002393,514221.20460700005,798719.6830000001,7987196.83,0.9854091921005066
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.15,40,1215819.3105,17739.786,1198079.5244999998,0.9854091921005066,0.15,239615.90489999996,976203.4055999999,1198079.5244999998,11980795.244999997,1.4781137881507596
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.15,40,1215819.3105,17739.786,1198079.5244999998,0.9854091921005066,0.15,285142.92683099996,930676.3836689999,1198079.5244999998,11980795.244999997,1.4781137881507596
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.15,40,1215819.3105,17739.786,1198079.5244999998,0.9854091921005066,0.15,396564.32260949997,819254.9878904999,1198079.5244999998,11980795.244999997,1.4781137881507596
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.15,40,1215819.3105,17739.786,1198079.5244999998,0.9854091921005066,0.15,444487.5035894999,771331.8069104999,1198079.5244999998,11980795.244999997,1.4781137881507596
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.2,40,1621092.414,23653.048000000003,1597439.3660000002,0.9854091921005066,0.20000000000000004,319487.87320000003,1301604.5408,1597439.3660000002,15974393.66,1.9708183842010132
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.2,40,1621092.414,23653.048000000003,1597439.3660000002,0.9854091921005066,0.20000000000000004,380190.569108,1240901.844892,1597439.3660000002,15974393.66,1.9708183842010132
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.2,40,1621092.414,23653.048000000003,1597439.3660000002,0.9854091921005066,0.20000000000000004,528752.4301460001,1092339.983854,1597439.3660000002,15974393.66,1.9708183842010132
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.2,40,1621092.414,23653.048000000003,1597439.3660000002,0.9854091921005066,0.20000000000000004,592650.004786,1028442.4092140001,1597439.3660000002,15974393.66,1.9708183842010132
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.25,40,2026365.5175,29566.31,1996799.2075,0.9854091921005066,0.25000000000000006,399359.84150000004,1627005.676,1996799.2075,19967992.075,2.463522980251266
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.25,40,2026365.5175,29566.31,1996799.2075,0.9854091921005066,0.25000000000000006,475238.211385,1551127.306115,1996799.2075,19967992.075,2.463522980251266
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.25,40,2026365.5175,29566.31,1996799.2075,0.9854091921005066,0.25000000000000006,660940.5376825001,1365424.9798174999,1996799.2075,19967992.075,2.463522980251266
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.25,40,2026365.5175,29566.31,1996799.2075,0.9854091921005066,0.25000000000000006,740812.5059825,1285553.0115175,1996799.2075,19967992.075,2.463522980251266
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.3333333333333333,40,2701820.69,39421.746666666666,2662398.9433333334,0.9854091921005066,0.33333333333333337,532479.7886666667,2169340.901333333,2662398.9433333334,26623989.433333334,3.2846973070016885
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.3333333333333333,40,2701820.69,39421.746666666666,2662398.9433333334,0.9854091921005066,0.33333333333333337,633650.9485133333,2068169.7414866667,2662398.9433333334,26623989.433333334,3.2846973070016885
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.3333333333333333,40,2701820.69,39421.746666666666,2662398.9433333334,0.9854091921005066,0.33333333333333337,881254.0502433333,1820566.6397566665,2662398.9433333334,26623989.433333334,3.2846973070016885
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.3333333333333333,40,2701820.69,39421.746666666666,2662398.9433333334,0.9854091921005066,0.33333333333333337,987750.0079766667,1714070.6820233334,2662398.9433333334,26623989.433333334,3.2846973070016885
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.5,40,4052731.035,59132.62,3993598.415,0.9854091921005066,0.5000000000000001,798719.6830000001,3254011.352,3993598.415,39935984.15,4.927045960502532
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.5,40,4052731.035,59132.62,3993598.415,0.9854091921005066,0.5000000000000001,950476.42277,3102254.61223,3993598.415,39935984.15,4.927045960502532
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.5,40,4052731.035,59132.62,3993598.415,0.9854091921005066,0.5000000000000001,1321881.0753650002,2730849.9596349997,3993598.415,39935984.15,4.927045960502532
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.5,40,4052731.035,59132.62,3993598.415,0.9854091921005066,0.5000000000000001,1481625.011965,2571106.023035,3993598.415,39935984.15,4.927045960502532
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,0.75,40,6079096.5525,88698.93,5990397.6225,0.9854091921005065,0.75,1198079.5245,4881017.028,5990397.6225,59903976.224999994,7.390568940753798
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,0.75,40,6079096.5525,88698.93,5990397.6225,0.9854091921005065,0.75,1425714.6341549999,4653381.918345001,5990397.6225,59903976.224999994,7.390568940753798
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,0.75,40,6079096.5525,88698.93,5990397.6225,0.9854091921005065,0.75,1982821.6130475,4096274.9394525,5990397.6225,59903976.224999994,7.390568940753798
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,0.75,40,6079096.5525,88698.93,5990397.6225,0.9854091921005065,0.75,2222437.5179474996,3856659.0345525006,5990397.6225,59903976.224999994,7.390568940753798
Federal top LTCG only,0.2,0.0,0.0,0.2,pro_rata_all_lots,1.0,40,8105462.07,118265.24,7987196.83,0.9854091921005066,1.0000000000000002,1597439.3660000002,6508022.704,7987196.83,79871968.3,9.854091921005065
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,pro_rata_all_lots,1.0,40,8105462.07,118265.24,7987196.83,0.9854091921005066,1.0000000000000002,1900952.84554,6204509.22446,7987196.83,79871968.3,9.854091921005065
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,pro_rata_all_lots,1.0,40,8105462.07,118265.24,7987196.83,0.9854091921005066,1.0000000000000002,2643762.1507300003,5461699.9192699995,7987196.83,79871968.3,9.854091921005065
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,pro_rata_all_lots,1.0,40,8105462.07,118265.24,7987196.83,0.9854091921005066,1.0000000000000002,2963250.02393,5142212.04607,7987196.83,79871968.3,9.854091921005065
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.05,7,405273.10349999997,36127.73365796855,369145.36984203145,0.9108558319168878,0.046217136962935154,73829.07396840629,331444.02953159367,369145.36984203145,3691453.698420314,0.4554279159584438
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.05,7,405273.10349999997,36127.73365796855,369145.36984203145,0.9108558319168878,0.046217136962935154,87856.59802240349,317416.5054775965,369145.36984203145,3691453.698420314,0.4554279159584438
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.05,7,405273.10349999997,36127.73365796855,369145.36984203145,0.9108558319168878,0.046217136962935154,122187.11741771242,283085.98608228756,369145.36984203145,3691453.698420314,0.4554279159584438
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.05,7,405273.10349999997,36127.73365796855,369145.36984203145,0.9108558319168878,0.046217136962935154,136952.93221139367,268320.1712886063,369145.36984203145,3691453.698420314,0.4554279159584438
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.1,8,810546.2070000002,46679.34778873247,763866.8592112677,0.9424100102059543,0.0956364135590318,152773.37184225355,657772.8351577467,763866.8592112677,7638668.592112676,0.9424100102059544
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.1,8,810546.2070000002,46679.34778873247,763866.8592112677,0.9424100102059543,0.0956364135590318,181800.3124922817,628745.8945077185,763866.8592112677,7638668.592112676,0.9424100102059544
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.1,8,810546.2070000002,46679.34778873247,763866.8592112677,0.9424100102059543,0.0956364135590318,252839.9303989296,557706.2766010705,763866.8592112677,7638668.592112676,0.9424100102059544
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.1,8,810546.2070000002,46679.34778873247,763866.8592112677,0.9424100102059543,0.0956364135590318,283394.6047673803,527151.6022326199,763866.8592112677,7638668.592112676,0.9424100102059544
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.15,9,1215819.3105,55787.69453345557,1160031.6159665445,0.9541151435483345,0.1452363877661626,232006.3231933089,983812.987306691,1160031.6159665445,11600316.159665445,1.4311727153225016
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.15,9,1215819.3105,55787.69453345557,1160031.6159665445,0.9541151435483345,0.1452363877661626,276087.52460003755,939731.7858999623,1160031.6159665445,11600316.159665445,1.4311727153225016
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_combined,0.15,9,1215819.3105,55787.69453345557,1160031.6159665445,0.9541151435483345,0.1452363877661626,383970.4648849262,831848.8456150737,1160031.6159665445,11600316.159665445,1.4311727153225016
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_combined,0.15,9,1215819.3105,55787.69453345557,1160031.6159665445,0.9541151435483345,0.1452363877661626,430371.729523588,785447.5809764119,1160031.6159665445,11600316.159665445,1.4311727153225016
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_combined,0.2,11,1621092.4139999999,64458.4683720649,1556633.9456279352,0.9602376349334613,0.19489114626312964,311326.78912558703,1309765.6248744128,1556633.9456279352,15566339.456279352,1.9204752698669223
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_combined,0.2,11,1621092.4139999999,64458.4683720649,1556633.9456279352,0.9602376349334613,0.19489114626312964,370478.87905944855,1250613.5349405513,1556633.9456279352,15566339.456279352,1.9204752698669223
